description,image,number,seller,price,ratting,category
"Samsung Galaxy M12 (Black,4GB RAM, 64GB Storage) 6000 mAh with 8nm Processor | True 48 MP Quad Camera | 90Hz Refresh…","https://images-eu.ssl-images-amazon.com/images/I/714QWDxXgNL._AC_UL200_SR200,200_.jpg",51,Unknown,10999.0,4.0,ELECTRONICS
"TP-Link AC750 Dual Band Wireless Cable Router, 4 10/100 LAN + 10/100 WAN Ports, Support Guest Network and Parental…","https://images-eu.ssl-images-amazon.com/images/I/61uvEaXUcyL._AC_UL200_SR200,200_.jpg",52,Unknown,1499.0,4.2,ELECTRONICS
"pTron Bassbuds Pro in-Ear True Wireless Bluetooth 5.0 Headphones with Deep Bass, Touch Control Earbuds with IPX4 Water…","https://images-eu.ssl-images-amazon.com/images/I/51jFRtF6FoL._AC_UL200_SR200,200_.jpg",53,Unknown,999.0,3.6,ELECTRONICS
Dell MS116 1000DPI USB Wired Optical Mouse,"https://images-eu.ssl-images-amazon.com/images/I/51lOpzsvv2L._AC_UL200_SR200,200_.jpg",54,Unknown,259.0,4.4,ELECTRONICS
realme Buds Classic Wired Earphones with HD Microphone Black,"https://images-eu.ssl-images-amazon.com/images/I/7123d26rFxL._AC_UL200_SR200,200_.jpg",55,Unknown,399.0,4.1,ELECTRONICS
"Lenovo 300 Wired Plug & Play USB Mouse, High Resolution 1600 DPI Optical Sensor, 3-Button Design with clickable Scroll…","https://images-eu.ssl-images-amazon.com/images/I/51Kh5lN0h3L._AC_UL200_SR200,200_.jpg",56,Unknown,299.0,4.4,ELECTRONICS
"Redmi 9 (Carbon Black, 4GB RAM, 64GB Storage)","https://images-eu.ssl-images-amazon.com/images/I/716nHhG9SWL._AC_UL200_SR200,200_.jpg",57,Unknown,8799.0,4.2,ELECTRONICS
Xiaomi Mi Earphone Basic with Ultra deep bass and mic (Blue),"https://images-eu.ssl-images-amazon.com/images/I/610co8JoMtL._AC_UL200_SR200,200_.jpg",58,Unknown,429.0,4.1,ELECTRONICS
OnePlus Buds Z (Gray),"https://images-eu.ssl-images-amazon.com/images/I/51lTzQUZDEL._AC_UL200_SR200,200_.jpg",59,Unknown,2999.0,4.2,ELECTRONICS
Nokia 105 Single SIM (Black),"https://images-eu.ssl-images-amazon.com/images/I/31Z2ee9oYQL._AC_UL200_SR200,200_.jpg",60,Unknown,1155.0,4.1,ELECTRONICS
boAt Bassheads 100 in Ear Wired Earphones with Mic(Taffy Pink),"https://images-eu.ssl-images-amazon.com/images/I/719sf-DtkvL._AC_UL200_SR200,200_.jpg",61,Unknown,399.0,4.1,ELECTRONICS
"Redmi Note 10 (Aqua Green, 4GB RAM, 64GB Storage)","https://images-eu.ssl-images-amazon.com/images/I/71Kmfs0T0BL._AC_UL200_SR200,200_.jpg",62,Unknown,11999.0,4.1,ELECTRONICS
"pTron Pride Lite HBE (High Bass Earphones) in-Ear Wired Headphones with in-line Mic, 10mm Powerful Driver for Stereo…","https://images-eu.ssl-images-amazon.com/images/I/51RyH%2BnQGRL._AC_UL200_SR200,200_.jpg",63,Unknown,199.0,3.9,ELECTRONICS
"pTron Tangentbeat Bluetooth 5.0 Wireless Headphones with Deep Bass, Ergonomic Design, IPX4 Sweat/Waterproof Neckband…","https://images-eu.ssl-images-amazon.com/images/I/51K8TkvtjgL._AC_UL200_SR200,200_.jpg",64,Unknown,799.0,4.1,ELECTRONICS
"ELV Car Mount Adjustable Car Phone Holder Universal Long Arm, Windshield for Smartphones - Black","https://images-eu.ssl-images-amazon.com/images/I/61sCL37xvlL._AC_UL200_SR200,200_.jpg",65,Unknown,379.0,3.9,ELECTRONICS
