description,image,number,seller,price,ratting,category
"NPAV Net Protector Anti-Virus Pro 2020 - 1 PC, 1 Year (Email Delivery - No CD)","https://images-eu.ssl-images-amazon.com/images/I/91Y5KwRr8RL._AC_UL200_SR200,200_.jpg",51,Unknown,330.0,4.4,SOFTWARES
"Kaspersky Internet Security for Android Latest Version- 1 Device, 1 Year (Activation Key Card)","https://images-eu.ssl-images-amazon.com/images/I/51NQ%2B50fuQL._AC_UL200_SR200,200_.jpg",52,Unknown,179.0,4.2,SOFTWARES
"Quick Heal Antivirus Pro Latest Version - 2 PCs, 3 Years (Email Delivery in 2 hours- No CD)","https://images-eu.ssl-images-amazon.com/images/I/61j-rN-lJlL._AC_UL200_SR200,200_.jpg",53,Unknown,1199.0,4.3,SOFTWARES
"Quick Heal Antivirus Pro Latest Version - 2 PCs, 1 Year (Email Delivery in 2 hours- No CD)","https://images-eu.ssl-images-amazon.com/images/I/61XgxEI%2BVDL._AC_UL200_SR200,200_.jpg",54,Unknown,619.0,4.3,SOFTWARES
"K7 Total Security - 1 PC's, 3 Years (Email Delivery in 2 hours - No CD)","https://images-eu.ssl-images-amazon.com/images/I/51Naj0jsuZL._AC_UL200_SR200,200_.jpg",55,Unknown,875.0,4.5,SOFTWARES
"Quick Heal Total Security Latest Version - 1 PC, 1 Year (DVD)","https://images-eu.ssl-images-amazon.com/images/I/61D-s-KMikL._AC_UL200_SR200,200_.jpg",56,Unknown,1192.0,4.4,SOFTWARES
"Kaspersky Internet Security Latest Version - 1 PC, 3 Years (CD)","https://images-eu.ssl-images-amazon.com/images/I/51UbqgiUKvL._AC_UL200_SR200,200_.jpg",57,Unknown,942.0,4.4,SOFTWARES
"Quick Heal Total Security Latest Version - 2 PCs, 3 Years (DVD)","https://images-eu.ssl-images-amazon.com/images/I/61hQDfJB2zL._AC_UL200_SR200,200_.jpg",58,Unknown,2677.0,4.4,SOFTWARES
Norton Antivirus Plus | 1 User 1 Year |Includes Smart Firewall & Password Manager | PC or Mac | Code emailed in 2 hrs,"https://images-eu.ssl-images-amazon.com/images/I/51uc73ga9QL._AC_UL200_SR200,200_.jpg",59,Unknown,499.0,4.2,SOFTWARES
"Quick Heal Total Security Renewal Upgrade Silver Pack - 1 User, 1 Year (Email Delivery in 2 hours- No CD)- Existing…","https://images-eu.ssl-images-amazon.com/images/I/61hur6iJ0PL._AC_UL200_SR200,200_.jpg",60,Unknown,799.0,4.4,SOFTWARES
"K7 Internet Security - 1 User, 1 Year (Email Delivery in 2 Hours - No CD)","https://images-eu.ssl-images-amazon.com/images/I/71%2BRxpyL35L._AC_UL200_SR200,200_.jpg",61,Unknown,190.0,4.2,SOFTWARES
"Kaspersky Internet Security 2020 Latest Version - 3 PCs, 3 Years (Code emailed in 2 Hours - No CD)","https://images-eu.ssl-images-amazon.com/images/I/81J6ehwrQ7L._AC_UL200_SR200,200_.jpg",62,Unknown,1850.0,4.5,SOFTWARES
"BitDefender Total Security Latest Version (Windows / Mac / Android / iOS) - 1 Device, 3 Years (Email Delivery in 2 hours…","https://images-eu.ssl-images-amazon.com/images/I/81kUD6ueKES._AC_UL200_SR200,200_.jpg",63,Unknown,549.0,4.3,SOFTWARES
"Quick Heal Total Security Renewal Upgrade Silver Pack - 1 User, 1 Year (DVD) (existing Quick Heal subscription required)","https://images-eu.ssl-images-amazon.com/images/I/61s1QQiqkKL._AC_UL200_SR200,200_.jpg",64,Unknown,762.0,4.4,SOFTWARES
"Eset NOD32 Antivirus Latest Version - 1 PC, 1 Year (Email Delivery in 2 Hours - No CD)","https://images-eu.ssl-images-amazon.com/images/I/710klIX7-pL._AC_UL200_SR200,200_.jpg",65,Unknown,400.0,4.3,SOFTWARES
eScan 1 User 3 Year Antivirus with Cloud Security (Email Delivery - No CD),"https://images-eu.ssl-images-amazon.com/images/I/71mUbe0PzNL._AC_UL200_SR200,200_.jpg",66,Unknown,160.0,4.2,SOFTWARES
